ts_ms,time_s,mode,front_cm,left_cm,right_cm,rad_has,rad_ang_deg,rad_dist_cm,rad_speed_cms,servo_us
172477,0.0,BOTH,45.8,,196.7,1,47.1,44.5,0.0,1740.0
172619,0.142,BOTH,45.2,,197.9,0,,,,1740.0
172732,0.255,BOTH,46.2,,196.8,1,20.6,35.9,0.0,1220.0
172844,0.367,BOTH,46.4,45.1,197.5,0,,,,1220.0
172984,0.507,BOTH,47.3,,198.1,1,28.0,39.4,0.0,1220.0
173126,0.649,BOTH,47.6,,196.7,0,,,,1220.0
173267,0.79,BOTH,47.5,,198.9,0,,,,1220.0
173407,0.93,BOTH,44.1,,197.6,0,,,,1220.0
173548,1.071,BOTH,42.1,,206.3,1,-11.2,51.7,-24.0,1220.0
173688,1.211,BOTH,38.9,,198.4,0,,,,1220.0
173827,1.35,BOTH,28.7,,205.0,0,,,,1900.0
173970,1.493,BOTH,33.4,,192.3,1,-9.8,60.9,-16.0,1900.0
174113,1.636,BOTH,32.8,,197.9,0,,,,1900.0
174249,1.772,BOTH,31.6,78.4,,0,,,,1900.0
174368,1.891,BOTH,32.2,81.3,204.9,0,,,,1900.0
174505,2.028,BOTH,32.7,81.3,,1,-8.7,58.4,0.0,1900.0
174645,2.168,BOTH,32.9,,207.9,0,,,,1500.0
174791,2.314,BOTH,33.1,,196.2,1,-9.0,58.8,0.0,1500.0
174934,2.457,BOTH,32.8,,217.4,0,,,,1500.0
175081,2.604,BOTH,32.1,,208.2,0,,,,1740.0
175224,2.747,BOTH,32.3,,198.0,0,,,,1740.0
175369,2.892,BOTH,32.2,,206.9,0,,,,1220.0
175507,3.03,BOTH,32.7,71.7,,1,-11.4,56.9,0.0,1220.0
175626,3.149,BOTH,31.8,81.4,200.0,0,,,,1220.0
175744,3.267,BOTH,32.0,81.8,187.4,0,,,,1220.0
175861,3.384,BOTH,32.2,78.7,204.5,0,,,,1220.0
175979,3.502,BOTH,32.3,81.2,198.0,0,,,,1220.0
176097,3.62,BOTH,32.3,82.6,211.0,0,,,,1220.0
176235,3.758,BOTH,32.2,81.4,,0,,,,1220.0
176380,3.903,BOTH,31.8,,207.9,1,-11.8,57.8,0.0,1900.0
176498,4.021,BOTH,31.7,80.8,197.2,0,,,,1900.0
176640,4.163,BOTH,31.9,,189.2,1,-11.1,57.4,0.0,1900.0
176778,4.301,BOTH,31.7,81.2,,0,,,,1900.0
176915,4.438,BOTH,31.1,83.0,,1,-10.3,55.7,0.0,1900.0
177052,4.575,BOTH,31.1,80.9,,0,,,,1900.0
177198,4.721,BOTH,31.7,,221.3,1,-8.2,53.0,0.0,1500.0
177343,4.866,BOTH,31.9,,218.3,0,,,,1500.0
177486,5.009,BOTH,31.8,,170.4,0,,,,1740.0
177606,5.129,BOTH,31.8,81.3,219.8,0,,,,1125.0
177752,5.275,BOTH,32.3,,197.8,0,,,,1101.0
177897,5.42,BOTH,31.4,,205.8,1,21.9,50.9,0.0,1164.0
178026,5.549,BOTH,32.3,79.7,,0,,,,1140.0
178165,5.688,BOTH,32.1,79.3,,1,17.1,49.1,0.0,1140.0
178304,5.827,BOTH,32.5,79.7,,0,,,,1140.0
178449,5.972,BOTH,32.8,,205.7,1,19.3,52.2,0.0,1140.0
178587,6.11,BOTH,31.9,80.2,,0,,,,1140.0
178725,6.248,BOTH,31.7,80.1,,0,,,,1140.0
178842,6.365,BOTH,32.1,82.2,204.8,0,,,,1140.0
178988,6.511,BOTH,32.5,,211.1,1,17.2,50.5,0.0,1140.0
179134,6.657,BOTH,32.0,,190.4,1,9.3,47.4,0.0,1900.0
179271,6.794,BOTH,32.0,81.2,,0,,,,1900.0
179416,6.939,BOTH,32.8,,205.0,0,,,,1900.0
179560,7.083,BOTH,33.1,,206.9,0,,,,1900.0
179706,7.229,BOTH,32.9,,197.8,1,9.9,42.9,0.0,1900.0
179851,7.374,BOTH,33.3,,198.5,1,11.0,48.4,8.0,1900.0
179992,7.515,BOTH,33.3,,210.0,0,,,,1500.0
180140,7.663,BOTH,33.8,,204.4,0,,,,1500.0
180239,7.762,BOTH,35.8,,82.7,0,,,,1740.0
180415,7.938,BOTH,,79.8,,1,19.5,54.6,16.0,1740.0
180523,8.046,BOTH,291.0,81.5,,0,,,,1740.0
180625,8.148,BOTH,195.9,80.1,,0,,,,1740.0
180727,8.25,BOTH,50.3,,197.4,1,18.3,57.0,39.0,1220.0
180874,8.397,BOTH,,81.0,,0,,,,1220.0
180975,8.498,BOTH,55.4,,197.8,0,,,,1220.0
181103,8.626,BOTH,58.1,,205.3,1,6.9,65.9,24.0,1220.0
181228,8.751,BOTH,60.5,,198.0,0,,,,1220.0
181331,8.854,BOTH,63.1,,198.4,0,,,,1220.0
181435,8.958,BOTH,65.1,,206.5,0,,,,1220.0
181538,9.061,BOTH,67.0,,197.8,0,,,,1220.0
181642,9.165,BOTH,70.2,,204.5,1,2.6,76.5,24.0,1220.0
181747,9.27,BOTH,74.2,,207.1,1,2.5,77.1,32.0,1900.0
181852,9.375,BOTH,77.9,,205.8,0,,,,1900.0
181974,9.497,BOTH,82.0,81.3,,1,2.7,79.6,0.0,1900.0
182089,9.612,BOTH,278.4,81.4,,1,2.8,78.3,0.0,1900.0
182182,9.705,BOTH,104.8,73.5,,1,2.8,76.9,24.0,1900.0
182289,9.812,BOTH,138.0,81.4,,1,3.0,75.4,24.0,1900.0
182446,9.969,BOTH,106.7,80.9,,1,3.2,72.4,24.0,1900.0
182566,10.089,BOTH,246.2,80.2,,1,3.3,71.0,24.0,1500.0
182689,10.212,BOTH,245.7,80.1,,1,3.6,68.9,0.0,1500.0
182809,10.332,BOTH,238.5,81.1,,1,3.7,68.5,0.0,1500.0
182928,10.451,BOTH,246.2,81.4,,0,,,,1500.0
183050,10.573,BOTH,246.1,81.1,,0,,,,1740.0
183145,10.668,BOTH,117.1,71.2,217.9,0,,,,1740.0
183287,10.81,BOTH,82.7,81.4,,0,,,,1740.0
183408,10.931,BOTH,245.7,80.2,,1,4.8,65.8,0.0,1740.0
183525,11.048,BOTH,191.2,81.4,,0,,,,1740.0
183646,11.169,BOTH,245.3,80.2,,0,,,,1740.0
183767,11.29,BOTH,245.6,80.2,,1,5.2,64.6,0.0,1740.0
183862,11.385,BOTH,114.8,79.2,198.8,1,5.4,64.3,0.0,1740.0
184048,11.571,BOTH,247.8,81.4,,0,,,,1740.0
184168,11.691,BOTH,245.7,80.2,,0,,,,1740.0
184289,11.812,BOTH,249.9,78.9,,1,5.6,63.8,0.0,1740.0
184414,11.937,BOTH,241.8,81.0,,1,5.6,63.8,0.0,1740.0
184519,12.042,BOTH,97.7,80.0,,0,,,,1740.0
184645,12.168,BOTH,142.8,82.3,,1,5.6,63.8,0.0,1740.0
184789,12.312,BOTH,91.3,81.4,,0,,,,1740.0
184922,12.445,BOTH,75.8,,206.3,0,,,,1740.0
185031,12.554,BOTH,72.4,,196.1,0,,,,1740.0
185128,12.651,BOTH,68.6,,87.1,0,,,,1500.0
185239,12.762,BOTH,63.9,,207.8,0,,,,1740.0
185344,12.867,BOTH,66.9,,204.5,0,,,,1740.0
185455,12.978,BOTH,72.3,,110.4,1,9.2,61.2,-24.0,1860.0
185598,13.121,BOTH,53.4,,198.1,0,,,,1860.0
185742,13.265,BOTH,48.4,,197.6,1,7.4,63.7,-24.0,1860.0
185866,13.389,BOTH,46.3,,197.4,0,,,,1860.0
185990,13.513,BOTH,44.1,,204.4,1,6.2,64.3,-16.0,1860.0
186111,13.634,BOTH,41.8,,197.0,0,,,,1860.0
186231,13.754,BOTH,39.9,,198.3,0,,,,1860.0
186353,13.876,BOTH,38.8,,196.8,1,4.2,64.8,-16.0,1860.0
186499,14.022,BOTH,36.7,,206.2,0,,,,1100.0
186644,14.167,BOTH,27.4,,204.4,1,2.9,64.8,-16.0,1100.0
186761,14.284,BOTH,32.7,83.1,163.9,0,,,,1100.0
186905,14.428,BOTH,32.0,,205.2,0,,,,1100.0
187047,14.57,BOTH,31.4,,192.0,0,,,,1100.0
187156,14.679,BOTH,31.0,81.4,84.4,0,,,,1100.0
187301,14.824,BOTH,30.5,,205.2,0,,,,1500.0
187445,14.968,BOTH,27.5,,198.2,0,,,,1500.0
187561,15.084,BOTH,32.4,81.5,136.9,0,,,,1740.0
187739,15.262,BOTH,45.1,,217.4,0,,,,1260.0
187860,15.383,BOTH,247.4,79.9,,0,,,,1260.0
187980,15.503,BOTH,238.2,81.0,,1,-4.7,47.4,8.0,1260.0
188102,15.625,BOTH,246.1,81.0,,0,,,,1260.0
188223,15.746,BOTH,246.1,80.2,,1,-3.5,46.4,16.0,1260.0
188328,15.851,BOTH,112.5,78.8,,1,-2.7,46.1,16.0,1772.0
188453,15.976,BOTH,290.8,81.4,,0,,,,1874.0
188571,16.094,BOTH,248.3,80.9,,1,4.3,45.1,-39.0,1894.0
188705,16.228,BOTH,31.3,,206.8,1,7.3,44.9,0.0,1898.0
188850,16.373,BOTH,28.4,,206.2,1,12.4,44.8,-39.0,1140.0
188980,16.503,BOTH,31.5,,204.4,0,,,,1140.0
189107,16.63,BOTH,31.8,,199.2,1,18.8,45.9,-39.0,1140.0
189244,16.767,BOTH,31.4,78.9,,0,,,,1140.0
189381,16.904,BOTH,33.5,82.3,,1,22.4,46.6,-16.0,1140.0
189534,17.057,BOTH,299.3,79.3,,0,,,,1140.0
189616,17.139,BOTH,84.3,81.5,206.1,0,,,,1140.0
189754,17.277,BOTH,237.8,79.8,,1,28.3,48.9,56.0,1140.0
189860,17.383,BOTH,85.7,56.7,69.6,0,,,,1900.0
190036,17.559,BOTH,152.1,80.2,217.7,0,,,,1900.0
190170,17.693,BOTH,88.4,81.8,,1,35.9,56.1,48.0,1900.0
190292,17.815,BOTH,152.5,80.9,196.7,1,39.6,61.1,24.0,1900.0
190455,17.978,BOTH,85.6,80.2,,0,,,,1900.0
190565,18.088,BOTH,89.0,81.3,,0,,,,1900.0
190693,18.216,BOTH,82.5,80.2,,0,,,,1500.0
190846,18.369,BOTH,97.4,81.0,,0,,,,1180.0
190991,18.514,BOTH,97.9,81.4,,1,47.9,95.8,-8.0,1740.0
191112,18.635,BOTH,94.9,81.4,,0,,,,1740.0
191234,18.757,BOTH,91.2,81.4,,1,47.3,100.5,-39.0,1740.0
191355,18.878,BOTH,80.8,80.1,,1,47.2,100.9,-48.0,1740.0
191476,18.999,BOTH,87.4,80.1,,0,,,,1740.0
191598,19.121,BOTH,89.6,80.9,,1,46.8,101.3,-24.0,1740.0
191723,19.246,BOTH,83.8,81.8,,0,,,,1740.0
191846,19.369,BOTH,89.1,81.8,,0,,,,1740.0
191971,19.494,BOTH,73.1,,197.1,1,45.9,101.2,-8.0,1740.0
192095,19.618,BOTH,84.7,81.0,,1,45.3,101.0,-8.0,1740.0
192225,19.748,BOTH,73.1,,198.8,0,,,,1740.0
192352,19.875,BOTH,58.8,,197.8,0,,,,1740.0
192456,19.979,BOTH,63.1,,204.4,0,,,,1740.0
192564,20.087,BOTH,79.7,,191.5,0,,,,1740.0
192667,20.19,BOTH,70.0,,196.2,0,,,,1740.0
192770,20.293,BOTH,70.0,,198.7,1,39.1,99.5,0.0,1740.0
192874,20.397,BOTH,54.9,,204.0,0,,,,1740.0
193002,20.525,BOTH,68.1,,217.6,0,,,,1740.0
193106,20.629,BOTH,67.2,,197.7,1,37.1,99.4,0.0,1740.0
193209,20.732,BOTH,61.2,,196.6,1,36.5,99.5,0.0,1740.0
193306,20.829,BOTH,90.2,73.7,,1,35.8,99.9,0.0,1740.0
193458,20.981,BOTH,92.5,80.2,,0,,,,1740.0
193589,21.112,BOTH,70.8,,198.7,0,,,,1740.0
193711,21.234,BOTH,87.9,81.4,,0,,,,1740.0
193843,21.366,BOTH,65.9,,206.2,1,33.0,100.4,-8.0,1740.0
193946,21.469,BOTH,68.8,,197.5,0,,,,1740.0
194050,21.573,BOTH,76.5,,198.3,0,,,,1740.0
194152,21.675,BOTH,64.3,,197.5,0,,,,1740.0
194276,21.799,BOTH,60.5,,197.6,0,,,,1740.0
194399,21.922,BOTH,65.7,,198.1,0,,,,1740.0
194503,22.026,BOTH,65.7,,196.6,0,,,,1740.0
194608,22.131,BOTH,67.3,,217.8,0,,,,1740.0
194712,22.235,BOTH,64.2,,203.6,0,,,,1740.0
194838,22.361,BOTH,64.8,,197.2,0,,,,1740.0
194965,22.488,BOTH,64.9,,205.3,0,,,,1740.0
195068,22.591,BOTH,64.7,,198.6,1,18.5,98.6,0.0,1740.0
195166,22.689,BOTH,74.0,,90.0,1,16.6,98.8,0.0,1500.0
195294,22.817,BOTH,66.2,,199.7,0,,,,1500.0
195399,22.922,BOTH,68.5,,205.6,0,,,,1740.0
195503,23.026,BOTH,76.9,,163.7,1,14.1,100.3,0.0,1740.0
195626,23.149,BOTH,69.7,,218.6,0,,,,1192.0
195728,23.251,BOTH,66.8,,198.3,0,,,,1174.0
195855,23.378,BOTH,67.1,,197.6,0,,,,1170.0
195983,23.506,BOTH,68.7,,204.9,0,,,,1170.0
196079,23.602,BOTH,69.4,,83.5,1,11.3,100.7,0.0,1500.0
196194,23.717,BOTH,86.9,81.3,,0,,,,1500.0
196320,23.843,BOTH,72.9,,205.7,1,10.0,101.1,0.0,1175.0
196442,23.965,BOTH,489.5,79.3,,1,9.5,101.2,0.0,1171.0
196546,24.069,BOTH,71.1,,198.3,0,,,,1131.0
196650,24.173,BOTH,65.4,,208.7,0,,,,1107.0
196754,24.277,BOTH,64.0,,200.8,1,7.5,101.4,0.0,1740.0
196856,24.379,BOTH,64.5,,199.1,0,,,,1740.0
197004,24.527,BOTH,64.0,,198.6,0,,,,1740.0
197105,24.628,BOTH,63.0,,166.2,1,1.5,102.1,0.0,1740.0
197233,24.756,BOTH,63.1,,198.9,0,,,,1740.0
197359,24.882,BOTH,61.8,,204.5,0,,,,1740.0
197462,24.985,BOTH,63.2,,190.0,0,,,,1228.0
